simulation_number,probability,payout_multiplier
459,5e-05,69.45
460,6.8e-05,69.6
461,6.4e-05,69.75
462,6.4e-05,69.9
463,6.2e-05,70.05
464,5e-05,70.2
465,8.4e-05,70.35
466,4.8e-05,70.5
467,4e-05,70.65
468,7.6e-05,70.8
469,5.2e-05,70.95
470,4.4e-05,71.1
471,6e-05,71.25
472,6.8e-05,71.4
473,5.4e-05,71.55
474,6e-05,71.7
475,5e-05,71.85
476,5.8e-05,72.0
477,5.4e-05,72.15
478,6.4e-05,72.3
479,5e-05,72.45
480,6.6e-05,72.6
481,4.6e-05,72.75
482,6.8e-05,72.9
483,4.2e-05,73.05
484,6.8e-05,73.2
485,5.6e-05,73.35
486,5.2e-05,73.5
487,5e-05,73.65
488,3.4e-05,73.8
489,4.6e-05,73.95
490,3.2e-05,74.1
491,4.2e-05,74.25
492,3.4e-05,74.4
493,4.2e-05,74.55
494,2.8e-05,74.7
495,5.8e-05,74.85
496,3.4e-05,75.0
497,2.8e-05,75.15
498,4.8e-05,75.3
499,3.8e-05,75.45
500,4e-05,75.6
501,4.4e-05,75.75
502,6e-05,75.9
503,4.2e-05,76.05
504,3.8e-05,76.2
505,4.6e-05,76.35
506,4.6e-05,76.5
507,4.2e-05,76.65
508,2.6e-05,76.8
509,3.6e-05,76.95
510,2e-05,77.1
511,4.4e-05,77.25
512,4e-05,77.4
513,3.4e-05,77.55
514,4.4e-05,77.7
515,3.4e-05,77.85
516,3e-05,78.0
517,3e-05,78.15
518,2.8e-05,78.3
519,2.2e-05,78.45
520,2.8e-05,78.6
521,1.8e-05,78.75
522,2.8e-05,78.9
523,2.8e-05,79.05
524,4.4e-05,79.2
525,3.6e-05,79.35
526,2.4e-05,79.5
527,2.4e-05,79.65
528,1e-05,79.8
529,2.8e-05,79.95
530,3.6e-05,80.1
531,3.4e-05,80.25
532,3.4e-05,80.4
533,2.8e-05,80.55
534,1.4e-05,80.7
535,2.2e-05,80.85
536,2.4e-05,81.0
537,1.4e-05,81.15
538,2.4e-05,81.3
539,2.2e-05,81.45
540,2.2e-05,81.6
